dataTitle	url	Green_Bay_Packers	Acid	Aberdare	Book_of_Revelation	Brigham_Young	Cash_register	Antoninus_Pius	Cinema_of_Germany	Harrison_Narcotics_Tax_Act	East_Germany	Honda	Eurovision_Song_Contest	Free_Methodist_Church	A_Doll_s_House	Eugene_Wigner	Geography_of_India	Chambered_cairn	Diego_Maradona	Politics_of_Germany	ISO_8601
                               Acid	https://en.wikipedia.org/wiki/Acid	13.1931	1.2240	9.5140	9.1344	11.1221	8.0815	9.2288	8.4780	9.0084	9.5242	10.0950	9.2511	11.2719	10.3967	9.8355	9.2034	12.3306	15.0292	8.6898	8.2533
                           Aberdare	https://en.wikipedia.org/wiki/Aberdare	7.5788	7.8182	1.3539	6.2947	5.3017	6.4963	5.4465	5.4704	5.9318	5.5762	6.2117	5.7939	5.8977	5.5488	5.6853	6.3554	7.9015	7.6168	5.6022	7.7316
                 Book of Revelation	https://en.wikipedia.org/wiki/Book+of+Revelation	9.9628	7.4792	6.4541	1.9422	5.4382	7.4926	5.4200	6.3314	6.8393	6.5143	7.0108	6.6282	7.1633	5.5608	6.4409	7.3559	10.8418	8.6911	7.2886	8.0495
                      Brigham Young	https://en.wikipedia.org/wiki/Brigham+Young	7.7304	8.4787	5.2228	5.8936	1.3984	6.2531	5.1133	5.7830	5.5213	5.5991	5.8524	6.1749	6.4358	4.9786	5.0194	6.3541	11.0315	6.6593	5.9390	7.9950
                      Cash register	https://en.wikipedia.org/wiki/Cash+register	8.0085	7.1705	6.1820	7.2515	6.2613	1.0891	6.4843	6.3361	6.5470	6.5646	5.4500	6.3825	7.3921	6.0772	6.3859	6.7761	11.0681	8.0828	6.0202	6.7723
                     Antoninus Pius	https://en.wikipedia.org/wiki/Antoninus+Pius	11.2277	9.3393	6.8578	6.1336	6.2387	8.6857	1.5845	6.3711	7.4758	6.4987	7.6084	7.0294	8.1840	6.0115	6.4917	8.0335	10.3741	8.8197	8.0375	9.9178
                  Cinema of Germany	https://en.wikipedia.org/wiki/Cinema+of+Germany	7.9527	8.2162	5.9293	6.8929	6.3851	7.5672	6.1190	1.7557	6.6832	4.7444	6.5655	5.8516	7.5102	5.3184	5.9668	7.7703	10.5988	7.8054	5.5260	7.7298
         Harrison Narcotics Tax Act	https://en.wikipedia.org/wiki/Harrison+Narcotics+Tax+Act	8.0132	7.2009	5.9311	6.1762	4.9229	6.4398	5.8029	5.7295	1.0902	6.2150	5.7923	6.0512	6.1980	5.6397	5.6660	6.9089	11.6229	7.2503	5.5801	7.3207
                       East Germany	https://en.wikipedia.org/wiki/East+Germany	7.3525	8.1679	5.7234	6.5549	5.6026	7.1036	5.3428	4.3545	5.7749	2.2352	6.3070	5.4413	6.2552	5.4616	5.4669	6.4218	9.7266	7.3665	4.2840	7.0794
                              Honda	https://en.wikipedia.org/wiki/Honda	6.3383	7.5812	5.5243	6.4751	5.6479	5.7107	5.8320	5.5756	5.9229	5.3110	1.9841	5.1906	6.2419	5.4281	5.8206	5.7373	11.1278	6.1021	5.4941	6.6246
            Eurovision Song Contest	https://en.wikipedia.org/wiki/Eurovision+Song+Contest	5.1535	7.0458	4.4834	5.6150	4.9481	5.2004	5.1278	4.5081	5.0843	4.4756	4.5193	1.9296	5.6172	4.5152	5.2243	5.0231	8.9184	5.0487	4.2797	4.9765
              Free Methodist Church	https://en.wikipedia.org/wiki/Free+Methodist+Church	7.7089	7.9283	4.5416	6.0658	4.9870	7.2219	5.8817	5.2845	5.8947	6.1979	5.9339	6.6575	1.0889	6.0085	6.0768	7.0955	9.4925	7.0655	5.6891	7.4471
                     A Doll's House	https://en.wikipedia.org/wiki/A+Doll%27s+House	10.7705	9.3545	7.0577	6.7715	6.5451	7.9110	6.3972	6.3211	7.1195	6.7556	7.5839	6.5666	8.4858	1.1403	7.0577	9.0333	13.6494	8.6378	8.1232	9.5887
