Acid
Aberdare
Book of Revelation
Brigham Young
Cash register
Antoninus Pius
Cinema of Germany
Harrison Narcotics Tax Act
East Germany
Honda
Eurovision Song Contest
Free Methodist Church
A Doll's House
Eugene Wigner
Geography of India
Chambered cairn
Diego Maradona
Politics of Germany
ISO 8601
Green Bay Packers
Citizen Kane
Capability Maturity Model
Gerolamo Cardano
Chicago White Sox
Cook Islands
Car Talk
Adam Smith
Francis Hopkinson
Faith healing
Holy See
Aspirated consonant
Computer animation
Galaxy Quest
Autonomous building
Contract bridge
Architect
Cosmological argument
Gheorghe Hagi
Bernard of Clairvaux
Constantin Brâncuși
History of the Mediterranean region
DARPA
Demographics of Ethiopia
Arithmetic function
Jinn
Aircraft carrier
