dataTitle	History_of_physics	Enrico_Fermi	Azerbaijani_Armed_Forces	BDSM	Greenhouse_effect	Globular_cluster	English_Channel	Ecclesiastes	Foreign_relations_of_Cuba	Ernest_Hemingway	Economy_of_Indonesia	Economy_of_Chile	Hausdorff_dimension	Charles_Baudelaire	Amino_acid	Acceptance_testing	Eleanor_of_Aquitaine	European_Parliament	December_5	Crannog
                                         BDSM	10.5159	17.7178	14.1281	2.8129	12.1877	7.3557	8.0825	-48.4585	7.0970	6.5696	12.8405	12.1196	15.3511	13.1134	7.8793	15.2811	9.4388	8.6179	180.0630	16.3877
                              English Channel	11.0078	16.1489	11.4219	5.5323	11.6395	7.0046	2.6333	-47.7911	6.1015	6.2186	11.8162	11.1040	16.0309	13.4118	8.2624	15.1219	7.5057	8.4996	40.6990	13.4642
                             Globular cluster	9.0447	13.0522	12.9504	5.4337	7.7152	2.2556	7.6548	-48.1062	6.6440	7.3321	12.8141	12.0055	10.1020	14.1767	5.9877	14.4993	9.6433	8.8219	158.8203	11.7254
                    Foreign relations of Cuba	9.9630	12.4306	7.6166	4.8096	9.9066	6.1681	5.8935	-48.4440	2.3265	5.1350	7.4733	6.9094	15.3704	11.8484	7.1495	12.5655	8.1667	6.3939	33.6152	14.8912
                         Economy of Indonesia	11.1331	14.8920	8.5666	5.2140	10.5065	6.3629	6.5150	-49.0849	4.8349	6.3230	3.2523	5.6240	15.5157	13.0156	7.3331	12.7978	9.3302	7.4134	125.4392	15.3549
                             Economy of Chile	9.9686	16.7558	9.5100	5.3800	11.4968	6.4282	6.7594	-47.2574	5.0550	6.4671	6.0369	3.3502	16.3005	13.1432	7.2484	14.6196	10.1016	8.0240	78.3360	15.9207
                          Hausdorff dimension	9.3586	17.7974	19.3290	5.7443	11.9488	5.6636	9.5810	-47.5710	8.6388	8.4215	19.4136	16.7238	2.3277	17.5336	6.8037	16.1163	11.4477	10.8526	127.6547	16.8669
                                   Amino acid	10.1239	13.4958	15.4544	5.3446	8.2601	5.6354	8.9488	-48.6814	8.0637	8.4464	13.4003	14.6159	10.6707	15.5072	2.4277	17.9636	11.5751	9.4200	170.8120	13.7796
                           Charles Baudelaire	11.5724	22.4997	20.0159	6.6147	17.5230	9.6933	8.9488	-48.0950	8.8948	6.1127	21.0996	18.4578	22.8176	3.8184	11.9475	29.4332	9.1616	11.9855	56.2305	22.7259
                           Acceptance testing	8.8192	15.5397	10.5940	4.6498	10.0336	6.2046	7.0088	-45.7854	6.3733	7.2249	10.2575	10.5565	11.3701	14.1756	7.3902	2.6333	9.9088	8.3217	-519.5652	14.9562
                         Eleanor of Aquitaine	11.9793	20.8473	22.0449	7.1320	19.5381	9.8128	8.2267	-47.8408	9.1216	6.7217	25.3505	22.4113	25.2289	15.3869	13.2037	45.1305	2.9111	12.7645	53.8147	26.4073
                          European Parliament	8.9239	12.3875	7.5005	4.3051	8.8943	5.8025	5.4014	-48.0869	4.3391	5.4307	8.0823	7.1858	10.9429	11.0980	6.2634	10.9127	7.1920	2.9238	57.7109	11.6002
